Dateiname,Pseudonym des Autors,Titel,Textlänge in Wörtern
['\n      Angel Dust and Arm Candy\n    '].txt,['orphan_account'],['\n      Angel Dust and Arm Candy\n    '],['45789']
['\n      Always Forever\n    '].txt,['Alien_Humanologist'],['\n      Always Forever\n    '],['13360']
"[""\n      You're Not the Only One\n    ""].txt",['FairyRave'],"[""\n      You're Not the Only One\n    ""]",['10502']
['\n      Haunted.\n    '].txt,['jessng'],['\n      Haunted.\n    '],['12851']
Dateiname,Pseudonym des Autors,Titel,Textlänge in Wörtern
Dateiname,Pseudonym des Autors,Titel,Textlänge in Wörtern
['\n      Angel Dust and Arm Candy\n    '].txt,['orphan_account'],['\n      Angel Dust and Arm Candy\n    '],['45789']
['\n      Always Forever\n    '].txt,['Alien_Humanologist'],['\n      Always Forever\n    '],['13360']
"[""\n      You're Not the Only One\n    ""].txt",['FairyRave'],"[""\n      You're Not the Only One\n    ""]",['10502']
['\n      Haunted.\n    '].txt,['jessng'],['\n      Haunted.\n    '],['12851']
Dateiname,Pseudonym des Autors,Titel,Textlänge in Wörtern
['\n      Angel Dust and Arm Candy\n    '].txt,['orphan_account'],['\n      Angel Dust and Arm Candy\n    '],['45789']
['\n      Always Forever\n    '].txt,['Alien_Humanologist'],['\n      Always Forever\n    '],['13360']
"[""\n      You're Not the Only One\n    ""].txt",['FairyRave'],"[""\n      You're Not the Only One\n    ""]",['10502']
['\n      Haunted.\n    '].txt,['jessng'],['\n      Haunted.\n    '],['12851']
['\n      Everything Was So Much Simpler Back Then...\n    '].txt,['FeliciaAmelloides'],['\n      Everything Was So Much Simpler Back Then...\n    '],['5386']
['\n      Battle of the Finest\n    '].txt,"['StarLove18', 'afteriwake']",['\n      Battle of the Finest\n    '],['7852']
['\n      Those Damn Khakis\n    '].txt,['kanyon01'],['\n      Those Damn Khakis\n    '],['5265']
['\n      i despise that i adore you\n    '].txt,['queencrank'],['\n      i despise that i adore you\n    '],['35603']
['\n      Alone on a Wide Sea\n    '].txt,['bheurach'],['\n      Alone on a Wide Sea\n    '],['5779']
['\n      Something Fishy\n    '].txt,['chinchillasinunison'],['\n      Something Fishy\n    '],['6147']
['\n      against all odds came the curse of the gods\n    '].txt,['DidiNyx'],['\n      against all odds came the curse of the gods\n    '],['6870']
['\n      Descent\n    '].txt,['NoCommentHere'],['\n      Descent\n    '],['24340']
['\n      The Ritual\n    '].txt,['Words_of_Heresy'],['\n      The Ritual\n    '],['11640']
['\n      Does anybody have a map.. ?\n    '].txt,['Mufffy'],['\n      Does anybody have a map.. ?\n    '],['10515']
Dateiname,Pseudonym des Autors,Titel,Textlänge in Wörtern
"
      Angel Dust and Arm Candy
    .txt",['orphan_account'],"
      Angel Dust and Arm Candy
    ",['45789']
"
      Always Forever
    .txt",['Alien_Humanologist'],"
      Always Forever
    ",['13360']
"
      You're Not the Only One
    .txt",['FairyRave'],"
      You're Not the Only One
    ",['10502']
"
      Haunted.
    .txt",['jessng'],"
      Haunted.
    ",['12851']
"
      Everything Was So Much Simpler Back Then...
    .txt",['FeliciaAmelloides'],"
      Everything Was So Much Simpler Back Then...
    ",['5386']
"
      Battle of the Finest
    .txt","['StarLove18', 'afteriwake']","
      Battle of the Finest
    ",['7852']
"
      Those Damn Khakis
    .txt",['kanyon01'],"
      Those Damn Khakis
    ",['5265']
"
      i despise that i adore you
    .txt",['queencrank'],"
      i despise that i adore you
    ",['35603']
"
      Alone on a Wide Sea
    .txt",['bheurach'],"
      Alone on a Wide Sea
    ",['5779']
"
      Something Fishy
    .txt",['chinchillasinunison'],"
      Something Fishy
    ",['6147']
"
      against all odds came the curse of the gods
    .txt",['DidiNyx'],"
      against all odds came the curse of the gods
    ",['6870']
"
      Descent
    .txt",['NoCommentHere'],"
      Descent
    ",['24340']
"
      The Ritual
    .txt",['Words_of_Heresy'],"
      The Ritual
    ",['11640']
"
      Does anybody have a map.. ?
    .txt",['Mufffy'],"
      Does anybody have a map.. ?
    ",['10515']
