id;start_date;end_date;duration
1;2000-07-21;2000-07-25;4.0
2;2001-07-13;2001-07-16;3.0
3;2002-07-23;2002-07-28;5.0
4;2003-05-29;2003-06-02;4.0
5;2004-06-11;2004-06-16;5.0
6;2005-06-15;2005-06-18;3.0
7;2006-07-05;2006-07-09;4.0
8;2007-06-02;2007-06-08;6.0
9;2008-06-25;2008-06-29;4.0
10;2009-06-20;2009-06-25;5.0
11;2010-07-07;2010-07-10;3.0
12;2011-06-19;2011-06-22;3.0
13;2012-07-16;2012-07-22;6.0
14;2013-07-16;2013-07-19;3.0
15;2014-07-07;2014-07-12;5.0
16;2015-06-29;2015-07-03;4.0
17;2016-07-11;2016-07-16;5.0
18;2017-08-08;2017-08-11;3.0
20;2018-06-26;2018-06-29;3.0
21;2019-07-23;2019-07-26;3.0
22;1999-06-09;1999-06-13;4.0
23;2019-07-09;2019-07-12;3.0
24;1998-07-05;1998-07-10;5.0
25;1997-06-13;1997-06-07;-6.0
26;1996-06-25;1996-06-29;4.0
27;1995-07-11;1995-07-15;4.0
28;1994-04-19;1994-04-23;4.0
29;1993-06-16;1993-06-19;3.0
30;1992-05-05;1992-05-09;4.0
31;1991-03-17;1991-03-21;4.0
32;1990-06-04;1990-06-09;5.0
33;1989-06-06;1989-06-10;4.0
34;2014-06-12;2014-06-13;1.0
35;2015-06-08;2015-06-09;1.0
36;2016-06-09;2019-06-10;1096.0
37;2018-06-06;2018-06-08;2.0
38;2019-09-11;2019-09-13;2.0
39;2012-03-27;2012-03-30;3.0
40;2014-03-18;2014-03-21;3.0
41;2016-06-20;2016-06-23;3.0
42;2018-09-25;2018-09-28;3.0
43;2018-12-05;2019-12-09;369.0
44;2011-09-13;2011-09-13;0.0
45;2012-09-15;2012-09-17;2.0
46;2013-09-19;2013-09-21;2.0
47;2014-09-19;2014-09-21;2.0
48;2015-09-01;2015-09-03;2.0
49;2016-09-12;2016-09-14;2.0
50;2017-09-11;2017-09-12;1.0
51;2018-09-09;2018-09-11;2.0
52;2019-08-29;2019-08-31;2.0
53;1970-03-23;1970-03-26;3.0
54;1972-03-27;1972-03-30;3.0
