cluster	size	words
367	3	dns, remplacé_adj, remplacé_ver
322	4	blogs_nom, forum_nom, illustrateur_nom, interview_nom
346	4	code_nam, contrefaçon_nom, pénal_adj, utilisation_nom
383	6	christof_nam, email, remplacé_nom, schöch_nam, universität_nam, würzburg_nam
395	7	ata, ata_nom, es, iwah_nom, rs, vâ, ôh_nam
333	8	abou, al, bin_nam, hafiz_nam, khayr_nam, laden_nam, mahmood_nam, sultan_nam
176	10	chemin_adv, clos_adj, corps_adv, cuisses_nom, et, figue_adj, mi, va, vient_nom, voix_adv
327	11	acclamation_nom, acclamer_ver, applaudir_ver, applaudissement_nom, bravos_nom, hourra_nom, hurrah_nom, ovation_nom, unanime_adj, vivat_nom, vive_nam
77	11	bragelonne_nam, hauteville_nam, isbn_nam, mail_nam, marsan_nam, milady_nam, neverland_nam, névant_nam, parution_nom, shutterstock_nam, site_nam
343	12	agreement_nom, any_nom, electronic_adj, gutenberg, project_nam, project_nom, terms_nom, this_nom, tm_nam, with_nom, work_nom, works_nom
284	12	bracelet, cadran_nom, cartel_nom, chronomètre_nom, horloge_nom, montre, montre_nom, pendule_nom, pendulette_nom, réveille, tac_nom, tic
272	14	acquiescement_nom, acquiescer_ver, affirmatif_adj, affirmativement_adv, approbateur_adj, approbation_nom, approuver_ver, assentiment_nom, dénégation_nom, haussement_nom, hochement_nom, hocher_ver, négativement_adv, opiner_ver
359	16	breakfast_nom, collation_nom, dessert_nom, déjeuner_nom, déjeuner_ver, dîner_nom, dîner_ver, dînette_nom, goûter_nom, lunch_nom, nique_nom, pique, rafraîchissement_nom, repas_nom, souper_nom, souper_ver
355	16	angélus_nom, carillon_nom, carillonner_ver, clairon_nom, cloche_nom, cor_nom, cors_nom, glas_nom, gong_nom, sonner_ver, sonnerie_nom, sonnette_nom, tocsin_nom, trompe_nom, trompeter_ver, trompette_nom
279	16	allons, aurions, aurons, avions, avons, devons, nous_nom, nous_ver, partons, pourrions, pourrons, pouvons, serions, serons, sommes, étions
389	16	détecteur_nom, frontal_adj, grossissement_nom, infrarouge_adj, jumelle_nom, laser_nom, longue, lorgnette_nom, loupe_nom, lunette_nom, microscope_nom, oculaire_nom, optique_adj, télescope_nom, viseur_nom, visée_nom
165	17	c, dire_adv, dire_nam, erwann_nam, est, face, lard_nam, peu, pied, près_nom, quant, soi_nom, tête, vis, vis_adv, yann, à
314	18	aviateur_adj, aviateur_nom, aéro_nom, bafoulos_nam, beaucaire_adj, beaucaire_nam, beaucaire_nom, cacique_nam, canaques_nam, carlingue_nom, francis_nam, laval_nam, pampa_nom, parisien_nam, paturel_nam, paturel_nom, tavernier_adj, tavernier_nam
10	19	a_nom, a_ver, anormal_nom, aurait_ver, avait_nom, avait_ver, bizarre_nom, cassé_nom, clocher_ver, concret_nom, extraordinaire_nom, grave_nom, immédiat_nom, positif_nom, précis_nom, utile_nom, y, ç, étrange_nom
353	19	attelle_nom, bandage_nom, bandelette_nom, baume_nom, cataplasme_nom, charpie_nom, compresse_nom, emplâtre_nom, garrot_nom, gaze_nom, iode_nom, ligature_nom, onguent_nom, ouate_nom, pansement_nom, pommade_nom, sparadrap_nom, teinture_nom, ventouse_nom
277	19	b, c_nam, e, f, g, h, i, j, k, m, m_nam, n, o, o_nam, p, r, s, u, w
326	19	ah, an, h_adj, h_nom, hr_nom, ia_nom, iak, iwa_nom, o_nom, oh, ra, rran, tsh, tshi, u_adj, usi_adj, xuah_nom, zra, ôhh
365	19	barney_nam, braille_nam, britt_nam, coster_nam, fedor_nam, freund_nam, gauchet_nam, kazienko_nam, kola_nam, koubiatz_nam, michèle_nam, peter_nam, roc_nam, sern_nam, sern_nom, stockler_nam, tazmine_nam, xenia_nam, yako_nam
381	20	august_nam, baptistin_nam, baroco_nam, blanche, comcombrita_nam, hermite_nam, hommes_nam, hommes_nom, macabreux_nam, mignonne_nam, mille, mousquetaires_adj, mousquetaires_nam, planchet_nam, señor_nam, torero_nom, toréador_nom, tristan_nam, ulrich, winkleried_nam
287	20	allume_nom, allumer_ver, allumette_nom, amadou_nom, bouffarde_nom, briquet_nom, cendrier_nom, cigare_nom, cigarette_nom, cigarillo_nom, clope_nom, fume, fumer_ver, fumeur_nom, gaulois_nom, havane_nom, mégot_nom, pipe_nom, rallumer_ver, éteindre_ver
386	21	aspirine_nom, calmant_adj, calmant_nom, chloroforme_nom, cocaïne_nom, comprimé_nom, dose_nom, drogue_nom, fumerie_nom, gélule_nom, morphine_nom, médicament_nom, narcotique_nom, opium_nom, pilule_nom, potion_nom, somnifère_nom, soporifique_nom, stupéfiant_nom, sédatif_nom, tranquillisant_nom
163	21	adresse_nam, archéologique_adj, conversion_nom, ebooks_nom, fichier_nom, flocoon_nam, graphique_adj, informatique_adj, internet_nom, label_nom, logo_nom, numérique_adj, paradise_nam, remplacée_adj, remplacée_ver, site_nom, url, web_nam, web_nom, élaboration_nom, électronique_adj
251	21	affichage_nom, affiche_nom, affichette_nom, badge_nom, enseigne_nom, immatriculation_nom, indicateur_adj, minéralogique_adj, mural_adj, pancarte_nom, panneau_nom, panonceau_nom, placarder_ver, plaque_nom, publicitaire_adj, publicité_nom, punaiser_ver, réclame_nom, sigle_nom, slogan_nom, écriteau_nom
331	22	béant_adj, béer_ver, clore_ver, entr, entrouvrir_ver, fermer_ver, fermé_adj, ouvert_adj, ouvraient_ver, ouvrais_ver, ouvrait_ver, ouvrant_nom, ouvrant_ver, ouvre_ver, ouvrent_ver, ouvres_ver, ouvrez_ver, ouvrir_ver, ouvrons_ver, refermer_ver, rouvre_nom, rouvrir_ver
273	22	angine_nom, apoplexie_nom, bronchite_nom, carabiné_adj, cardiaque_adj, congestion_nom, diagnostiquer_ver, dysenterie_nom, embolie_nom, fluxion_nom, grippe_nom, indigestion_nom, infarctus_nom, insolation_nom, maladie_nom, overdose_nom, paludisme_nom, pleurésie_nom, pneumonie_nom, pulmonaire_adj, rhume_nom, typhoïde_nom
230	23	assener_ver, asséna_ver, baffe_nom, beigne_nom, bouler_ver, bourrade_nom, chiquenaude_nom, claque_nom, croc, dinguer_ver, décocher_ver, gifle_nom, gnon_nom, horion_nom, magistral_adj, pichenette_nom, raclée_nom, ruade_nom, taloche_nom, tape_nom, uppercut_nom, valdinguer_ver, valser_ver
334	23	aaknah_nam, anghaka_nam, ata_nam, buhxa_nam, buhxa_ver, enhxa_nam, eshkan_nam, eï, iawaho_nam, ikanik_nam, litam_nam, loh_nam, ni, notlra_nam, nutshu_nam, ohunik_nam, oki_nam, oorh_nam, sheïan_nam, sintshu_nam, sintshu_nom, uho_nam, xuah_nam
294	23	ago, ago_nom, ahur_nom, edri, han, han_int, iwah, iwèh_nom, iêk_nom, kuughi_nom, loa_nom, m_nom, moraghi_nom, nakoa, nakoa_ver, nam, r_nom, rauquement_nom, riekek_nom, shsr, us, uôk_nom, ôh_nom
299	24	basket_nom, botte_nom, bottine_nom, brodequin_nom, chausser_ver, chausson_nom, chaussure_nom, crotter_ver, déchausser_ver, escarpin_nom, espadrille_nom, galoche_nom, godasse_nom, godillot_nom, lacer_ver, mocassin_nom, pantoufle_nom, rechausser_ver, sabot_nom, sandale_nom, savate_nom, semelle_nom, soulier_nom, talon_nom
319	24	belem_nam, boost_nam, cal_nam, cal_nom, cal_ver, casseline_nam, divo_nam, giuse_nam, kori_nam, lou_nam, lou_nom, louro_nam, meztiyano_nam, nali_nam, nela_nam, podji_nam, ripou_nam, salvo_nam, salvokrip_nam, sistaz_nam, siz_nam, tava_nam, toug_nam, vahussi_nam
263	24	atanik, booh, booh_nam, hr_nam, hua, hua_nam, iaw_nam, ishri, iw, loa, loa_nam, maâq_nam, moh, n_nam, nak, nak_nom, nar, neh, neh_nom, nik, nik_nom, nikhr, oa, tô
372	25	accoutrement_nom, accoutrer_ver, affubler_ver, attifer_ver, bandeau_nom, déguisement_nom, déguiser_ver, fagoter_ver, fard_nom, farder_ver, grimer_ver, habiller_ver, habillé_adj, maquillage_nom, maquiller_ver, masque_nom, perruque_nom, postiche_adj, postiche_nom, poudrer_ver, revêtir_ver, travestir_ver, voile_nom, vêtir_ver, vêtu_adj
0	25	curtain_nam, dar_nam, dreneïde_nom, dreneïdes_nom, duché_nom, falon_nam, feydra, grojin_nam, hautcour_nam, ikatar_nam, in_nam, jeffron_nam, jhandai_nam, jireas_nam, jorge_nam, kriill_nam, merçyl_nam, merçyl_nom, niim_nam, orlocs_nom, piolin_nam, redfelt_nam, sitel_nam, tiral_nam, vallahl_nam
399	25	astéroïde_nom, atome_nom, aurifère_adj, aérolithe_nom, bactérie_nom, filon_nom, gisement_nom, globule_nom, jovien_adj, lingot_nom, microscopique_adj, minerai_nom, minéral_nom, molécule_nom, météorite_nom, météorites_nom, noyau_nom, particule_nom, plutonium_nom, pépite_nom, radiation_nom, radioactif_adj, radium_nom, spore_nom, uranium_nom
240	26	abord_adj, abord_adv, abord_nam, accord_adv, accord_nam, accord_nom, ailleurs_adj, ailleurs_adv, ailleurs_nam, ailleurs_nom, amour_nam, antin_nam, autant_nam, autant_ver, avray_nam, brin, chaussée, côte, d, eau_nam, goutte, oie_nam, or_nam, patte, vautour_nam, ville
286	26	alath_nam, ashémou_nam, augustus_nam, aurélien_nam, clodia_nam, gallien_nam, hayran_nam, illustre_nam, longin_nam, macrien_nam, nurbel_nam, nurbel_nom, odeinath_nam, palmyre_nam, perse_nom, pulinius_nam, shapûr_nam, sharha_nam, très_nam, ulpia_nam, valérien_adj, valérien_nam, whabalath_nam, zénobie_adj, zénobie_nam, zénobie_nom
311	26	anguille_nom, brochet_nom, carpe_nom, conserve_nom, coquillage_nom, coquille_nom, corail_nom, crevette_nom, hareng_nom, huître_nom, morue_nom, moule_nom, nasse_nom, oursin_nom, palourde_nom, poisson_nom, pêche_nom, pêcher_ver, pêcheur_nom, sardine_nom, sole_nom, thon_nom, truite_nom, vase_nom, vivier_nom, écrevisse_nom
281	27	anakata_nam, anathotep_nam, anouna_nam, ashra_nam, dakomon_nam, harponneur_nom, horemeb_nam, junia_nam, junia_nom, massalian_nam, modenko_nam, mosé_nam, nath_nam, nath_nom, neb_nam, netoub_nam, netoub_nom, nomarque_nom, orn_nam, outi_ver, pygmée_nom, servallon_nam, shagan_nam, shagan_nom, sigrid_nam, sourcier_nom, tomak_nam
289	27	ahom_nam, ahorn_nam, ahorn_nom, angh_nam, anâanni_nam, anâanni_ver, boorh_nom, ene, eshkan_nom, hanohisihan_nam, hna_nam, hucsha_nam, iru_nam, nam_adj, nam_nom, nokh_adj, nokh_nom, nî, ohihani_adj, ohihani_nam, ohisihan_nam, ohr_nom, okough_nam, sh, varakh_nam, éfi, éi_nam
366	27	buste_nom, cambrure_nom, diane_nam, délié_adj, dénuder_ver, flexible_adj, fuseler_ver, fuselé_adj, galbe_nom, gracieux_adj, gracile_adj, harmonieux_adj, idéalement_adv, mouler_ver, naïade_nom, nudité_nom, nue_nom, nuer_ver, nymphe_nom, pose_nom, posture_nom, profil_nom, sculptural_adj, souple_adj, svelte_adj, virginal_adj, élancé_adj
341	29	appauvrir_ver, aspiration_nom, aspirer_ver, aérer_ver, bouffée_nom, climatisation_nom, climatiser_ver, climatiseur_nom, conditionné_adj, expiration_nom, expirer_ver, goulée_nom, inhaler_ver, insonoriser_ver, inspiration_nom, irrespirable_adj, portant_adj, raréfier_ver, respirable_adj, respire_nom, respirer_ver, salubre_adj, statique_adj, suffocant_adj, surchauffer_ver, surchauffé_adj, vivifiant_adj, vivifier_ver, étouffant_adj
260	29	accroire_ver, accroître_ver, accrue_ver, agrandir_ver, amenuiser_ver, augmenter_ver, considérablement_adv, croissant_adj, croître_ver, dangereusement_adv, diminuer_ver, décroire_ver, décroître_ver, enfler_ver, fur_nom, graduellement_adv, grandir_ver, grandissant_adj, grossir_ver, inexorablement_adv, insensiblement_adv, mesure_nom, naître_ver, notablement_adv, progressivement_adv, rapetisser_ver, rétrécir_ver, sensiblement_adv, élargir_ver
98	29	aamma_nam, aïnine_nam, babette_nam, batisti_nam, elizabeth_nam, esther_nam, fonfon_nam, hartani_nam, hawa_nam, honorine_nam, houriya_nam, lalla_nam, leila_nam, lole_nam, mam_nam, manu_nam, manu_nom, mavros_nom, naman_nam, nejma_nam, nour_nam, ouma_nom, ouma_ver, pessayre_nam, saadi_nam, toni_nam, ugo_nam, varangue_nom, zucca_nam
203	29	1, all_nom, and_ver, are_nom, copyright_nom, for_nom, foundation_nam, from_nom, gutenberg_nam, haver_ver, life_nom, must_nom, not_ver, one_nom, please_adv, right_nom, set_nom, states_nam, that_nom, the_adj, the_ver, united_nam, was_nom, way_nom, you_adj, you_nam, you_nom, your_adj, your_nom
373	30	attignies_nam, chang, clappique_nam, commodore_nom, garcia_nam, gardet_nam, gisors_nam, gomez_nam, hemmelrich_nam, hernandez_nam, jaime_nam, katow_nam, kaï, kyo_nam, lopez_nam, magnin_nam, magnin_nom, manuel_nam, milicien_nom, négus_nam, négus_nom, puig_nam, ramos_nom, scali_nam, sembrano_nam, shade_nam, shek_nam, tchen_nam, tchen_nom, ximénès_nam
247	31	andrew_nam, armand_nam, blakeney_nam, carrier_nam, chabot_nam, chauvelin_nam, citoyen_nom, collot_nam, danou_nam, ffoulkes_nam, fouquier, godet_nam, hastings_nam, héron_nam, klagenstein_nam, lalouët_nam, martin, mouron_nam, mouron_nom, percy_nam, pochart_nam, proconsul_nom, robespierre_nam, roget_nam, roget_nom, rouge_nam, sir_nam, tallien_nam, theresia_nam, theresia_nom, tinville_nam
170	31	babel_nam, bibliothèque_nam, chroniques_nam, collection_nam, delly_nam, fiction_nom, flammarion_nam, folio_nam, gallimard_nam, heures_nam, intégral_nom, jeury_nam, labyrinthe_nam, lebrun_nam, livre_nam, nouvelles_nam, plon_nam, poche_nam, policier_nam, porte_nam, prix_nam, québec_nam, science, seuil_nam, signé_nam, série_nam, trilogie_nom, voir_nom, volume_nam, yourcenar_nam, éditions_nam
303	31	cent_nom, cent_num, centimètre_nom, cinquante_nom, circonférence_nom, couder_ver, coudée_nom, cube_adj, diamètre_nom, franc_adj, gramme_nom, kilo_nom, kilogramme_nom, kilomètre_nom, largeur_nom, lieue_nom, longueur_nom, mile_nom, mille_nom, mille_num, milliard_nom, millimètre_nom, million_nom, mètre_nom, quatre, superficie_nom, toise_nom, tonne_nom, vingt_nom, vingts_num, yard_nom
310	32	ailé_nom, alandrin_nam, athanor_nom, azincourt_nam, baronne_nom, brescieux_nam, carrard_nam, chat, crèvecœur_nam, dalmas_nam, delveccio_nam, drænal_nam, enchanteur_nom, falissière_nam, farroux_nam, gil_nam, griffont_nam, griffont_ver, gélancourt_nam, isabel_nam, isabel_nom, kourianov_nam, labricole_nam, nero_nam, ruycours_nam, ruycours_nom, sarante_nam, spyker_nam, sébrier_nam, tixier_nam, troisville_nam, varon_nam
233	32	androïde_nom, anim_nam, archéos_nam, dijar_nom, goed_adj, gruull_nam, gruull_nom, gruulls_nom, hélios_nam, illona_nam, joll_nam, lohert_nam, matom_nam, miklauss_nam, module_nom, mouches_nom, nataniel_nam, octar_nam, oiseau, oiseaux, robot_nom, robots_nom, safari_nom, satellite_nom, sierks_nom, sonde_nom, spationaute_nom, subespace_nom, terrien_nom, terriens_nam, vahussis_nam, vahussis_nom
301	32	affût_nom, aguet_nom, alarme_nom, alerte_nom, chiourme_nom, embusquer_ver, faction_nom, garde, garde_nom, gardien_nom, guet_nom, guetter_ver, guetteur_adj, guetteur_nom, patrouille_nom, patrouiller_ver, qui, ronde_nom, sentinelle_nom, surveillance_nom, surveille_nom, surveiller_ver, tapir_ver, veiller_ver, veilleur_nom, vigilance_nom, vigilant_adj, vigiler_ver, vive_nom, à_nom, épier_ver, éveil_nom
370	32	abby_nam, alister_nam, asgoroth_nam, ash_nam, calhoun_nam, calywen_nam, cassiodon_nam, celemval_nam, déchu_nam, dépeceur_nom, elora_nam, erak_nom, gardiens_nam, gusev_nam, immanente_nom, imperator_nam, josah_nam, jul_nam, laka_nam, laka_nom, liam_nam, memnon_nam, orichalque_nom, rowena_nam, rowena_nom, shamdoth_nam, tirnaèg_nam, wyrd_nam, wyrd_nom, wyrdmar_nam, wyrdmar_nom, écuyer_nam
250	33	babine_nom, bave_nom, baveuse_adj, bouche_nom, canine_nom, chicot_nom, commissure_nom, dent_nom, dentition_nom, denture_nom, gencive_nom, glaire_nom, goulu_adj, goulûment_adv, gourmand_adj, gourmandise_nom, incisive_nom, laper_ver, lèvre_nom, maxillaire_nom, molaire_nom, morve_nom, mâchoire_nom, narine_nom, pourlécher_ver, retrousser_ver, retroussé_adj, salive_nom, trousser_ver, tétine_nom, vorace_adj, voracité_nom, édenter_ver
298	33	battant_nom, cadenas_nom, cadenasser_ver, chambranle_nom, clef_nom, clenche_nom, clé_nom, cochère_adj, contrevent_nom, crocheter_ver, embrasure_nom, encadrement_nom, entrebâillement_nom, entrebâiller_ver, espagnolette_nom, gond_nom, grille_nom, gâche_nom, heurtoir_nom, huis_nom, judas_nom, loquet_nom, lourde_nom, portail_nom, porte_adj, porte_nom, portillon_nom, pêne_nom, serrure_nom, trousseau_nom, vantail_nom, verrou_nom, verrouiller_ver
