	text	position	preceding	hit	following
0	Tucholsky	111	a, oder sind Sie für die Ostsee da? Was 	sich	 diese Leute erlauben! Nu geben Sie scho
1	Tucholsky	1108	mach auch fast gar nichts mehr. Was tut 	sich	 noch? Entwaffnungsnote? Meine Badehose 
2	Münchhausen	744	nen hinauszuschreyen vermag: so läßt er 	sich	 in solchen Fällen niemals auf Widerlegu
3	Münchhausen	1431	chtigte Prahlhänse gerathen, zu bitten, 	sich	 bey jeder schicklichen Gelegenheit eben
4	Münchhausen	2690	 ist in der deutschen Uebersetzung, die 	sich	 eben nicht ängstlich an die Worte binde
5	Münchhausen	2835	e bey einer künftigen Auflage, deren es 	sich	 nicht ganz ohne Ursache schmeichelt, le
6	Münchhausen	5018	ich gegen Nordost hin kam. Nun kann man 	sich	 einbilden, wie bey so strengem Wetter, 
7	Münchhausen	6660	 zugeschneyet gewesen; das Wetter hatte 	sich	 auf einmal umgesetzt; ich war im Schlaf
8	Münchhausen	8101	eschah unmittelbar. Der Wolf bekümmerte 	sich	 nicht im mindesten um meine Wenigkeit, 
9	Münchhausen	8497	d nahm mit Entsetzen wahr, daß der Wolf 	sich	 beynahe über und über in das Pferd hine
10	Münchhausen	8579	neingefressen hatte. Kaum aber hatte er 	sich	 so hübsch hineingezwänget, so nahm ich 
11	Münchhausen	10367	n der Welt zu verjunkeriren. Sie können 	sich	 leicht vorstellen, meine Herren, daß ic
12	Münchhausen	11491	en. Glücklicher Weise fiel mir ein, was 	sich	 so eben mit meinen Augen zugetragen hat
13	Kraus	182	 den kleinsten Stoß zu rächen, sie, die 	sich	 das Maß der Schöpfung dünkt und nur der
14	Kraus	508	nd aus den Augen starrt die Ahnung, daß 	sich	 das Größte begeben hat. Ringsum ist all
