Choose_Not_To_Use_Archive_Warnings,Explicit,Graphic_Depictions_Of_Violence,Jack_Merridew,Jack_Merridew*s*Ralph,Lord_of_the_Flies_-_William_Golding,M*s*M,Mature,Maurice_(Lord_of_the_Flies),Piggy_(Lord_of_the_Flies),Ralph_(Lord_of_the_Flies),Roger_(Lord_of_the_Flies),Sam_and_Eric_(Lord_of_the_Flies),Simon_(Lord_of_the_Flies),Teen_And_Up_Audiences,title,author,identifier
1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,All that Glitters,JellyFicsnFucks,a3o-12783453
1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,i despise that i adore you,queencrank,a3o-10834317
1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,Battle of the Finest,StarLove18,a3o-10721724
0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,Breathe (Third Eye),FoxyPug,a3o-8567572
0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,A Oneshot a Day...,FeliciaAmelloides,a3o-13223532
0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,Thaumaturgy,NoCommentHere,a3o-3624141
0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,The Ritual,Words_of_Heresy,a3o-10506702
0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,dans un rêve d'amour,queencrank,a3o-13988505
1,1,0,1,1,1,1,0,0,0,1,1,0,0,0,wanna help my worlds collide?,queencrank,a3o-11893371
1,0,0,1,0,1,0,0,1,1,1,1,1,1,1,The Knife-Sharpener's Daughter,thejapanesemapletree,a3o-3451232
0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,You're Not the Only One,FairyRave,a3o-7831897
1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,crave,briwookie,a3o-10851582
0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,teen idle || lord of the flies,marxia,a3o-14387319
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"The Ties that Bind, the Ties that Break",ElizaDarling,a3o-6474739
1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,you're as sharp as a knife &amp; you fit like a glove,queencrank,a3o-9534308
1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,you stepped off the edge / but you didn't check to see where you'd fall,queencrank,a3o-13262835
0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,Snow Ralph And The King Who Shagged His Mother,deeo,a3o-7511621
1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,this will all just end in flames,queencrank,a3o-11482038
0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,All Hail the Magic Conch,BurningDrum,a3o-5306246
0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,The New Jack Merridew (and a new Piggy too),chinchillasinunison,a3o-11778543
0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,Descent,NoCommentHere,a3o-3476837
1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,Us that Remain,popsiclestick,a3o-3328676
0,0,1,1,0,1,0,0,1,0,1,1,0,1,1,Seek and Kill,jessng,a3o-7711855
1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Alone on a Wide Sea,bheurach,a3o-682001
0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,pray for your virtue,briwookie,a3o-8893939
0,0,1,1,0,1,0,0,1,1,1,1,1,1,1,Different Kind,jessng,a3o-7498038
0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,Cemetery Sentiments,FanFictionIsMyWeakness,a3o-8216849
0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,Creatures,Paranoir,a3o-9262796
0,0,1,1,0,1,1,0,0,1,1,1,1,1,1,Selfish,Certified Ralmon Trash (MyNeverEndingDistrust),a3o-3187232
1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,Foul Play,FanFictionIsMyWeakness,a3o-10030754
0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,To Let Go,jessng,a3o-7670524
1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,After the island,FrankieQuinn13,a3o-7955065
1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,Lord of the Flies High,lordofthegays (highlyfashionablesociopath),a3o-1547915
